TICKS,CPU%,Memper%,Net_recv,Net_sent
1696904779.59,4.00,32.30,352.58,14.59
1696904781.10,4.00,32.50,352.58,14.59
1696904782.60,2.00,32.50,352.58,14.59
1696904784.11,19.70,32.50,352.58,14.59
1696904785.61,2.00,32.50,352.58,14.59
1696904787.11,4.00,32.40,352.58,14.59
1696904788.61,2.00,32.10,352.58,14.59
1696904790.12,0.00,32.20,352.58,14.59
1696904791.62,5.90,32.20,352.58,14.59
1696904793.12,13.50,32.40,352.58,14.59
1696904794.62,2.00,32.40,352.58,14.59
1696904796.13,2.00,32.30,352.58,14.59
1696904797.63,0.00,32.10,352.58,14.59
1696904799.13,8.10,32.10,352.58,14.59
1696904800.63,2.00,32.20,352.58,14.59
1696904802.14,6.00,32.20,352.58,14.59
1696904803.64,0.00,32.30,352.58,14.59
1696904805.14,4.00,32.40,352.58,14.59
1696904806.65,0.00,32.40,352.58,14.59
1696904808.15,12.10,32.40,352.58,14.59
1696904809.65,3.90,32.40,352.58,14.59
1696904811.15,0.00,32.40,352.58,14.59
1696904812.66,0.00,32.40,352.58,14.59
1696904814.16,8.00,32.30,352.58,14.59
1696904815.66,0.00,32.10,352.58,14.59
1696904817.16,7.90,32.30,352.58,14.59
1696904818.67,2.00,32.40,352.58,14.59
1696904820.17,6.00,32.40,352.58,14.59
1696904821.67,0.00,32.40,352.58,14.59
1696904823.17,14.10,32.40,352.58,14.59
1696904824.68,0.00,32.40,352.58,14.59
1696904826.18,2.10,32.30,352.58,14.60
1696904827.68,0.00,32.40,352.58,14.60
1696904829.18,8.10,32.40,352.58,14.60
1696904830.68,4.00,32.40,352.58,14.60
1696904832.19,7.80,32.40,352.58,14.60
1696904833.69,0.00,32.40,352.58,14.60
1696904835.19,2.00,32.40,352.58,14.60
1696904836.69,2.00,32.40,352.58,14.60
1696904838.20,14.10,32.40,352.58,14.60
1696904839.70,0.00,32.40,352.58,14.60
1696904841.20,7.90,32.40,352.58,14.60
1696904842.71,2.00,32.40,352.58,14.60
1696904844.21,6.20,32.40,352.58,14.60
1696904845.71,0.00,32.40,352.58,14.60
1696904847.21,4.00,32.40,352.58,14.60
1696904848.72,0.00,32.40,352.58,14.60
1696904850.22,4.00,32.40,352.58,14.60
1696904851.72,2.00,32.40,352.58,14.60
1696904853.23,12.00,32.40,352.58,14.60
1696904854.73,2.00,32.40,352.58,14.60
1696904856.23,6.00,32.10,352.58,14.60
1696904857.73,0.00,32.20,352.58,14.60
1696904859.24,10.30,32.40,352.58,14.60
1696904860.74,5.90,32.40,352.58,14.60
1696904862.24,6.00,32.50,352.58,14.60
1696904863.74,0.00,32.50,352.58,14.60
1696904865.25,5.90,32.50,352.58,14.60
1696904866.75,0.00,32.50,352.58,14.60
1696904868.25,16.20,32.30,352.58,14.60
1696904869.75,0.00,32.30,352.58,14.60
1696904871.26,6.00,32.10,352.58,14.60
1696904872.76,0.00,32.20,352.58,14.60
1696904874.26,6.10,32.00,352.58,14.60
1696904875.76,0.00,32.10,352.58,14.60
1696904877.26,5.90,32.10,352.58,14.60
1696904878.77,0.00,32.20,352.58,14.60
1696904880.27,6.00,32.20,352.58,14.60
1696904881.77,0.00,32.30,352.58,14.60
1696904883.27,16.00,32.30,352.58,14.60
1696904884.78,0.00,32.30,352.58,14.60
1696904886.28,4.00,32.30,352.58,14.60
1696904887.78,2.00,32.30,352.58,14.60
1696904889.29,10.00,32.30,352.58,14.60
1696904890.79,0.00,32.40,352.58,14.60
1696904892.29,6.00,32.40,352.58,14.60
1696904893.79,0.00,32.40,352.58,14.60
1696904895.30,7.90,32.40,352.58,14.60
1696904896.80,0.00,32.40,352.58,14.60
1696904898.30,12.30,32.40,352.58,14.60
1696904899.81,0.00,32.20,352.58,14.60
1696904901.31,4.00,32.20,352.58,14.60
1696904902.81,2.00,32.30,352.58,14.60
1696904904.31,11.90,32.30,352.58,14.60
1696904905.81,0.00,32.30,352.58,14.60
1696904907.32,9.80,32.30,352.58,14.60
1696904908.82,0.00,32.40,352.58,14.60
1696904910.32,4.00,32.40,352.58,14.60
1696904911.83,2.00,32.40,352.58,14.60
1696904913.33,14.10,32.40,352.58,14.60
1696904914.83,0.00,32.40,352.58,14.60
1696904916.33,6.10,32.10,352.58,14.60
1696904917.84,0.00,32.20,352.58,14.60
1696904919.34,10.10,32.30,352.58,14.60
1696904920.84,0.00,32.40,352.58,14.60
1696904922.34,4.00,32.50,352.58,14.60
1696904923.85,0.00,32.50,352.58,14.60
1696904925.35,5.90,32.50,352.58,14.60
1696904926.85,0.00,32.60,352.58,14.60
1696904928.35,12.20,32.50,352.58,14.60
1696904929.86,2.00,32.30,352.58,14.60
1696904931.36,7.80,32.40,352.58,14.60
1696904932.86,0.00,32.40,352.58,14.60
1696904934.37,8.00,32.40,352.58,14.60
1696904935.87,2.00,32.40,352.58,14.60
1696904937.37,4.00,32.60,352.58,14.60
