TICKS,CPU%
1697884469.32,15.90
1697884470.82,0.00
1697884472.32,0.00
1697884473.82,0.00
1697884475.33,2.00
1697884476.83,8.00
1697884478.33,76.30
1697884479.83,0.00
1697884481.34,43.20
1697884482.84,12.10
1697884484.34,2.00
1697884485.84,25.80
1697884487.35,16.00
1697884488.85,28.20
1697884490.35,6.00
1697884491.85,0.00
1697884493.36,6.00
1697884494.86,0.00
1697884496.36,2.00
1697884497.86,0.00
1697884499.37,2.00
1697884500.87,2.00
1697884502.37,4.00
1697884503.87,4.00
1697884505.38,4.00
1697884506.88,0.00
1697884508.38,2.00
1697884509.88,0.00
1697884511.39,2.00
1697884512.89,2.00
1697884514.39,0.00
1697884515.89,0.00
1697884517.40,4.00
1697884518.90,2.00
1697884520.40,0.00
1697884521.90,4.00
1697884523.41,0.00
1697884524.91,2.00
1697884526.41,2.00
1697884527.91,0.00
1697884529.42,2.00
1697884530.92,2.00
1697884532.42,2.00
1697884533.92,2.00
1697884535.43,2.00
1697884536.93,2.00
1697884538.43,2.00
1697884539.93,4.00
1697884541.44,2.00
1697884542.94,0.00
1697884544.44,0.00
1697884545.95,0.00
1697884547.45,0.00
1697884548.95,0.00
1697884550.45,4.00
1697884551.96,0.00
1697884553.46,0.00
1697884554.96,0.00
1697884556.46,2.00
1697884557.97,2.00
1697884559.47,2.00
1697884560.97,0.00
1697884562.47,0.00
1697884563.97,0.00
1697884565.48,2.00
1697884566.98,0.00
1697884568.48,0.00
1697884569.99,2.00
1697884571.49,2.00
1697884572.99,2.00
1697884574.49,2.00
1697884576.00,0.00
1697884577.50,0.00
1697884579.00,0.00
1697884580.51,2.00
1697884582.01,0.00
1697884583.51,0.00
1697884585.01,2.00
1697884586.52,6.00
1697884588.02,0.00
1697884589.52,0.00
1697884591.03,0.00
1697884592.53,0.00
1697884594.03,0.00
1697884595.53,0.00
1697884597.04,0.00
1697884598.54,0.00
1697884600.04,0.00
1697884601.54,0.00
1697884603.05,0.00
1697884604.55,0.00
1697884606.05,0.00
1697884607.55,0.00
1697884609.06,2.00
1697884610.56,0.00
1697884612.06,4.00
1697884613.57,2.00
1697884615.07,0.00
1697884616.57,0.00
1697884618.07,0.00
1697884619.58,0.00
1697884621.08,0.00
1697884622.58,0.00
1697884624.08,0.00
1697884625.59,0.00
1697884627.09,4.00
1697884628.59,1.90
1697884630.09,0.00
1697884631.60,2.00
1697884633.10,2.00
1697884634.60,2.00
1697884636.10,2.00
1697884637.61,0.00
1697884639.11,2.00
1697884640.61,4.00
1697884642.12,2.00
1697884643.62,0.00
1697884645.12,4.00
1697884646.62,4.00
1697884648.13,0.00
1697884649.63,0.00
1697884651.13,0.00
1697884652.63,0.00
1697884654.14,0.00
1697884655.64,0.00
1697884657.14,4.00
1697884658.64,2.00
1697884660.15,0.00
1697884661.65,0.00
1697884663.15,0.00
1697884664.65,2.00
1697884666.16,0.00
1697884667.66,0.00
1697884669.16,2.00
1697884670.67,2.00
1697884672.17,0.00
1697884673.67,2.00
1697884675.17,2.00
1697884676.68,6.00
1697884678.18,2.00
1697884679.68,2.00
1697884681.19,0.00
1697884682.69,2.00
1697884684.19,2.00
1697884685.69,0.00
1697884687.20,2.00
1697884688.70,0.00
1697884690.20,2.00
1697884691.70,2.00
1697884693.21,2.00
1697884694.71,2.00
1697884696.21,0.00
1697884697.71,2.00
1697884699.22,2.00
1697884700.72,2.00
1697884702.22,2.00
1697884703.73,4.00
1697884705.23,2.00
1697884706.73,2.00
1697884708.23,0.00
1697884709.74,2.00
1697884711.24,2.00
1697884712.74,2.00
1697884714.25,0.00
1697884715.75,2.00
1697884717.25,0.00
1697884718.75,2.00
1697884720.26,0.00
1697884721.76,0.00
1697884723.26,5.80
1697884724.77,0.00
1697884726.27,0.00
1697884727.77,0.00
1697884729.27,2.00
1697884730.77,2.00
1697884732.28,0.00
1697884733.78,2.00
1697884735.28,4.00
1697884736.79,0.00
1697884738.29,2.00
1697884739.79,4.00
1697884741.29,0.00
1697884742.80,0.00
1697884744.30,0.00
1697884745.80,0.00
1697884747.30,0.00
1697884748.81,0.00
1697884750.31,2.00
1697884751.81,0.00
1697884753.31,2.00
1697884754.82,2.00
1697884756.32,0.00
1697884757.82,35.70
1697884759.33,0.00
1697884760.83,0.00
1697884762.33,0.00
1697884763.83,0.00
1697884765.34,4.00
1697884766.84,2.00
1697884768.34,0.00
1697884769.84,0.00
1697884771.35,2.00
1697884772.85,2.00
1697884774.35,0.00
1697884775.86,2.00
1697884777.36,2.00
1697884778.86,0.00
1697884780.36,2.00
1697884781.87,2.00
1697884783.37,0.00
1697884784.87,2.00
1697884786.38,0.00
1697884787.88,2.00
1697884789.38,0.00
1697884790.88,4.00
1697884792.39,4.00
1697884793.89,6.00
1697884795.39,2.00
1697884796.89,0.00
1697884798.40,4.00
1697884799.90,82.40
1697884801.40,6.00
1697884802.90,2.00
1697884804.41,2.00
1697884805.91,0.00
1697884807.41,4.00
1697884808.92,2.00
1697884810.42,2.00
1697884811.92,0.00
1697884813.42,4.00
1697884814.93,0.00
1697884816.43,2.00
1697884817.93,2.00
1697884819.44,2.00
1697884820.94,0.00
1697884822.44,2.00
1697884823.94,0.00
1697884825.45,0.00
1697884826.95,0.00
1697884828.45,0.00
1697884829.96,0.00
1697884831.46,2.00
1697884832.96,2.00
1697884834.46,4.00
1697884835.97,0.00
1697884837.47,2.00
1697884838.97,0.00
1697884840.47,0.00
1697884841.98,19.70
1697884843.48,0.00
1697884844.98,4.00
1697884846.48,4.00
1697884847.99,2.00
1697884849.49,0.00
1697884850.99,0.00
1697884852.50,0.00
1697884854.00,0.00
1697884855.50,0.00
1697884857.00,2.00
1697884858.51,0.00
1697884860.01,0.00
1697884861.51,0.00
1697884863.01,0.00
1697884864.52,0.00
1697884866.02,2.00
1697884867.52,2.00
1697884869.03,0.00
1697884870.53,4.00
1697884872.03,2.00
1697884873.53,4.00
1697884875.04,0.00
1697884876.54,6.00
1697884878.04,4.00
1697884879.54,4.00
1697884881.05,0.00
1697884882.55,2.00
1697884884.05,0.00
1697884885.56,4.00
1697884887.06,0.00
1697884888.56,4.00
1697884890.06,2.00
1697884891.57,5.80
1697884893.07,0.00
1697884894.57,0.00
1697884896.07,0.00
1697884897.58,0.00
1697884899.08,2.00
1697884900.58,4.00
1697884902.09,0.00
1697884903.59,0.00
1697884905.09,0.00
1697884906.59,0.00
1697884908.10,2.00
1697884909.60,4.00
1697884911.10,0.00
1697884912.60,0.00
1697884914.11,0.00
1697884915.61,2.00
1697884917.11,0.00
1697884918.61,0.00
1697884920.12,0.00
1697884921.62,2.00
1697884923.12,0.00
1697884924.62,2.00
1697884926.13,0.00
1697884927.63,2.00
1697884929.13,0.00
1697884930.64,0.00
1697884932.14,0.00
1697884933.64,4.00
1697884935.14,0.00
1697884936.65,2.00
1697884938.15,0.00
1697884939.65,2.00
1697884941.16,1.90
1697884942.66,0.00
1697884944.16,0.00
1697884945.67,0.00
1697884947.17,0.00
1697884948.67,6.00
1697884950.18,0.00
1697884951.68,4.00
1697884953.18,2.00
1697884954.69,0.00
1697884956.19,2.00
1697884957.69,4.00
1697884959.20,0.00
1697884960.70,2.00
1697884962.20,0.00
1697884963.70,0.00
1697884965.21,2.00
1697884966.71,4.00
1697884968.21,35.90
1697884969.71,0.00
1697884971.22,0.00
1697884972.72,2.00
1697884974.22,15.90
1697884975.73,2.00
1697884977.23,0.00
1697884978.73,2.00
1697884980.24,2.00
1697884981.74,3.90
1697884983.24,0.00
1697884984.74,2.00
1697884986.25,0.00
1697884987.75,2.00
1697884989.25,2.00
1697884990.76,0.00
1697884992.26,2.00
1697884993.76,4.00
1697884995.27,2.00
1697884996.77,0.00
1697884998.27,0.00
1697884999.77,2.00
1697885001.27,0.00
1697885002.78,2.00
1697885004.28,2.00
1697885005.78,2.00
1697885007.28,0.00
1697885008.79,0.00
1697885010.29,0.00
1697885011.79,0.00
1697885013.30,0.00
1697885014.80,0.00
1697885016.30,0.00
1697885017.80,2.00
1697885019.31,2.00
1697885020.81,5.80
1697885022.31,2.00
1697885023.81,4.00
1697885025.32,2.00
1697885026.82,0.00
1697885028.32,2.00
1697885029.83,0.00
1697885031.33,0.00
1697885032.83,3.80
1697885034.33,2.00
1697885035.84,4.00
1697885037.34,0.00
1697885038.84,4.00
1697885040.34,7.80
1697885041.84,2.00
1697885043.35,2.00
1697885044.85,0.00
1697885046.35,3.90
1697885047.85,2.00
1697885049.36,0.00
1697885050.86,0.00
1697885052.36,2.00
1697885053.86,0.00
1697885055.37,0.00
1697885056.87,2.00
1697885058.37,2.00
1697885059.87,2.00
1697885061.38,4.00
1697885062.88,0.00
