TICKS,CPU%,Memper%,Net_recv,Net_sent
1699879489.57,79.70,11.10,6.71,0.86
1699879490.57,461.80,11.30,6.71,0.86
1699879491.57,507.40,11.90,6.71,0.86
1699879492.58,403.20,12.50,6.72,0.87
1699879493.58,328.60,13.00,6.72,0.88
1699879494.58,188.50,13.30,6.73,0.89
1699879495.58,234.00,13.80,6.73,0.90
1699879496.59,422.30,14.30,6.77,0.97
1699879497.59,316.80,14.60,6.80,1.02
1699879498.59,382.30,15.30,6.83,1.08
1699879499.59,128.40,15.70,6.86,1.13
1699879500.59,4.00,15.70,6.88,1.16
1699879501.60,2.00,15.80,6.89,1.18
1699879502.60,18.00,15.80,6.90,1.20
1699879503.60,6.00,15.80,6.91,1.23
1699879504.60,44.60,15.70,6.92,1.24
1699879505.60,24.10,15.70,6.93,1.25
1699879506.61,71.10,15.80,6.93,1.25
1699879507.61,0.00,15.70,6.93,1.25
1699879508.61,14.00,15.70,6.93,1.25
1699879509.61,4.00,15.70,6.93,1.25
1699879510.62,0.00,15.70,6.93,1.25
1699879511.62,14.00,15.70,6.93,1.25
1699879512.62,4.00,15.70,6.93,1.25
1699879513.62,0.00,15.60,6.93,1.25
1699879514.62,10.20,15.70,6.93,1.25
1699879515.63,0.00,15.70,6.93,1.25
1699879516.63,0.00,15.60,6.93,1.25
1699879517.63,12.00,15.60,6.93,1.25
1699879518.63,2.00,15.50,6.93,1.26
1699879519.63,0.00,15.60,6.93,1.26
1699879520.64,10.00,15.60,6.93,1.26
1699879521.64,0.00,15.60,6.93,1.26
1699879522.64,2.00,15.60,6.93,1.26
1699879523.64,17.80,15.60,6.93,1.26
1699879524.64,0.00,15.60,6.93,1.26
1699879525.65,2.00,15.60,6.93,1.26
1699879526.65,6.10,15.60,6.93,1.26
1699879527.65,4.00,15.60,6.93,1.26
1699879528.65,4.00,15.60,6.93,1.26
1699879529.66,11.90,15.60,6.93,1.26
1699879530.66,0.00,15.60,6.94,1.26
1699879531.66,0.00,15.60,6.94,1.26
1699879532.66,12.00,15.60,6.94,1.26
1699879533.67,0.00,15.60,6.94,1.26
1699879534.67,6.00,15.60,6.94,1.26
1699879535.67,15.60,15.60,6.94,1.26
1699879536.67,0.00,15.60,6.94,1.26
1699879537.67,2.00,15.60,6.94,1.26
1699879538.68,56.40,15.60,6.94,1.26
1699879539.68,184.80,15.70,6.94,1.26
1699879540.68,168.90,15.70,6.94,1.26
1699879541.68,209.80,15.70,6.94,1.26
1699879542.69,196.90,15.70,6.94,1.26
1699879543.69,181.30,15.70,6.94,1.26
1699879544.69,205.60,15.70,6.94,1.26
1699879545.69,204.50,15.80,6.94,1.26
1699879546.70,210.90,15.80,6.94,1.26
1699879547.70,177.30,15.80,6.94,1.26
1699879548.70,187.10,15.80,6.94,1.26
1699879549.70,186.20,15.70,6.94,1.26
1699879550.70,170.30,15.70,6.94,1.26
1699879551.71,183.70,15.70,6.94,1.26
1699879552.71,198.30,15.70,6.94,1.26
1699879553.71,195.40,15.70,6.94,1.27
1699879554.71,187.50,15.70,6.94,1.27
1699879555.71,183.20,15.70,6.94,1.27
1699879556.72,198.10,15.80,6.94,1.27
1699879557.72,154.80,15.80,6.94,1.27
1699879558.72,227.10,15.70,6.94,1.27
1699879559.72,308.30,15.70,6.94,1.27
1699879560.73,253.00,15.70,6.94,1.27
1699879561.73,274.50,15.80,6.94,1.27
1699879562.74,200.00,15.80,6.94,1.27
1699879563.74,247.30,15.80,6.94,1.27
1699879564.74,185.30,15.80,6.94,1.27
1699879565.74,196.70,15.90,6.94,1.27
1699879566.75,239.90,15.80,6.94,1.27
1699879567.75,204.50,15.90,6.94,1.27
1699879568.75,239.80,15.90,6.94,1.27
1699879569.75,157.70,15.90,6.94,1.27
1699879570.75,201.30,15.90,6.94,1.27
1699879571.75,176.20,15.90,6.94,1.27
1699879572.76,161.80,15.90,6.94,1.27
1699879573.76,178.10,15.90,6.94,1.27
1699879574.76,161.20,15.90,6.94,1.27
1699879575.76,167.30,15.90,6.94,1.27
1699879576.77,175.60,15.90,6.94,1.27
1699879577.77,186.90,15.90,6.94,1.27
1699879578.77,165.90,15.90,6.94,1.27
1699879579.78,176.30,15.90,6.94,1.27
1699879580.78,190.20,15.80,6.94,1.27
1699879581.78,166.60,15.80,6.94,1.27
1699879582.78,182.90,15.80,6.94,1.27
1699879583.78,151.00,15.90,6.95,1.27
1699879584.79,163.20,15.90,6.95,1.27
1699879585.79,188.50,15.90,6.95,1.27
1699879586.79,181.20,15.90,6.95,1.28
1699879587.80,271.90,16.00,6.96,1.28
1699879588.80,178.60,15.90,6.97,1.28
1699879589.80,179.20,15.90,6.98,1.29
1699879590.80,174.80,15.90,6.98,1.29
1699879591.81,164.20,16.00,6.98,1.29
1699879592.81,170.10,15.90,6.98,1.29
1699879593.81,145.00,15.90,6.98,1.29
1699879594.81,142.90,15.90,6.98,1.29
1699879595.82,165.10,15.90,6.98,1.29
1699879596.82,166.60,15.90,6.98,1.29
1699879597.82,174.90,15.90,6.98,1.29
1699879598.82,167.80,15.90,6.98,1.29
1699879599.83,169.20,15.90,6.98,1.29
1699879600.83,150.70,15.90,6.98,1.29
1699879601.83,145.20,16.00,6.98,1.29
1699879602.83,166.90,15.90,6.98,1.29
1699879603.84,181.80,15.90,6.98,1.29
1699879604.84,171.40,16.00,6.98,1.29
1699879605.84,146.40,16.00,6.98,1.29
1699879606.85,163.40,16.00,6.98,1.29
1699879607.85,160.50,16.00,6.98,1.29
1699879608.85,146.20,15.80,6.98,1.29
