TICKS,CPU%,Memper%,Net_recv,Net_sent
1699879489.58,34.20,0.70,90.00,0.00
1699879491.09,106.34,0.70,90.00,0.00
1699879492.62,75.64,0.70,5098.00,3362.00
1699879494.13,47.68,0.70,11134.00,5741.00
1699879495.64,51.69,0.70,22502.00,7734.00
1699879497.16,64.88,15.13,78147.00,8977.00
1699879498.68,82.39,15.13,115783.00,11859.00
1699879500.19,1.75,15.13,152195.00,13199.00
1699879501.70,0.50,15.13,171443.00,13415.00
1699879503.21,0.75,15.13,185447.00,14029.00
1699879504.72,7.99,15.13,197897.00,14431.00
1699879506.23,0.50,15.13,198725.00,14593.00
1699879507.74,0.25,20.24,198777.00,14787.00
1699879509.25,0.75,20.24,198777.00,14787.00
1699879510.76,0.50,20.24,199169.00,14969.00
1699879512.27,0.50,20.24,199291.00,14969.00
1699879513.78,0.75,20.24,199504.00,14969.00
1699879515.30,0.50,20.24,199556.00,14969.00
1699879516.81,0.00,19.65,199556.00,14969.00
1699879518.32,0.25,19.65,199948.00,14969.00
1699879519.83,0.00,19.65,200000.00,14969.00
1699879521.34,0.25,19.65,200796.00,15229.00
1699879522.85,0.50,19.65,201232.00,15523.00
1699879524.36,0.25,19.65,201284.00,15585.00
1699879525.87,1.25,19.65,201336.00,15585.00
1699879527.38,0.75,19.65,201388.00,15767.00
1699879528.89,0.25,19.65,201388.00,15767.00
1699879530.40,0.00,19.65,201440.00,15767.00
1699879531.92,0.50,19.65,201915.00,16019.00
1699879533.43,0.00,19.65,202307.00,16093.00
1699879534.94,0.50,19.65,202307.00,16167.00
1699879536.45,0.00,19.65,202359.00,16167.00
1699879537.96,0.25,19.65,202495.00,16251.00
1699879539.47,0.25,19.65,202547.00,16325.00
1699879540.98,0.00,19.65,202547.00,16325.00
1699879542.49,0.50,19.65,202599.00,16325.00
1699879544.00,0.50,19.65,202651.00,16325.00
1699879545.51,0.00,19.65,202810.00,16325.00
1699879547.03,0.00,18.89,202967.00,16325.00
1699879548.54,0.25,18.89,203019.00,16325.00
1699879550.05,0.00,18.89,203071.00,16325.00
1699879551.56,0.00,18.89,203123.00,16325.00
1699879553.07,0.25,18.89,203613.00,16515.00
1699879554.58,0.25,18.89,203755.00,16709.00
1699879556.09,0.25,18.89,203807.00,16709.00
1699879557.60,0.50,18.89,203859.00,16709.00
1699879559.11,5.49,18.89,203859.00,16771.00
1699879560.63,24.45,18.89,203911.00,16771.00
1699879562.14,3.49,18.89,203963.00,16771.00
1699879563.66,4.24,18.89,204015.00,16771.00
1699879565.17,0.50,18.89,204015.00,16771.00
1699879566.68,0.00,18.89,204407.00,16771.00
1699879568.19,0.25,19.83,204459.00,16771.00
1699879569.70,0.00,19.83,204511.00,16771.00
1699879571.22,0.25,19.83,204511.00,16771.00
1699879572.73,0.00,19.83,204563.00,16771.00
1699879574.24,0.25,19.83,204615.00,16771.00
1699879575.75,0.00,19.83,204667.00,16771.00
1699879577.27,0.00,19.83,204719.00,16771.00
1699879578.79,0.00,19.83,204719.00,16771.00
1699879580.30,0.00,19.83,204771.00,16771.00
1699879581.81,0.00,19.83,204823.00,16771.00
1699879583.33,0.00,19.83,204875.00,16771.00
1699879584.84,0.00,19.83,204875.00,16771.00
1699879586.36,0.25,19.83,204927.00,16771.00
1699879587.87,0.25,19.83,204979.00,16771.00
1699879589.38,0.25,19.83,205031.00,16771.00
1699879590.89,0.00,19.83,205031.00,16771.00
1699879592.41,0.00,19.83,205083.00,16771.00
1699879593.92,0.00,19.83,205135.00,16771.00
1699879595.43,0.25,19.83,205187.00,16771.00
1699879596.94,0.00,19.83,205187.00,16771.00
1699879598.45,0.00,19.83,205239.00,16771.00
1699879599.96,0.25,19.83,205291.00,16771.00
1699879601.47,0.00,19.83,205343.00,16771.00
1699879602.99,0.25,19.83,205766.00,17097.00
1699879604.50,0.25,19.83,205818.00,17097.00
1699879606.01,0.25,19.83,205870.00,17171.00
1699879607.52,0.25,19.83,206006.00,17255.00
