TICKS,Memoryper%
1697884469.32,34.40
1697884470.32,34.40
1697884471.32,34.20
1697884472.32,34.20
1697884473.33,34.20
1697884474.33,34.20
1697884475.33,34.20
1697884476.33,34.20
1697884477.33,34.30
1697884478.33,34.40
1697884479.33,34.40
1697884480.33,34.40
1697884481.34,34.40
1697884482.34,34.30
1697884483.34,34.30
1697884484.34,34.30
1697884485.34,34.20
1697884486.34,34.20
1697884487.34,34.20
1697884488.34,34.20
1697884489.35,34.30
1697884490.35,34.30
1697884491.35,34.30
1697884492.35,34.30
1697884493.35,34.20
1697884494.35,34.20
1697884495.35,34.20
1697884496.36,34.20
1697884497.36,34.20
1697884498.36,34.20
1697884499.36,34.20
1697884500.36,34.10
1697884501.36,34.00
1697884502.36,34.00
1697884503.37,34.00
1697884504.37,34.00
1697884505.37,34.00
1697884506.37,34.00
1697884507.37,34.00
1697884508.37,34.00
1697884509.38,34.00
1697884510.38,34.00
1697884511.38,34.00
1697884512.38,34.00
1697884513.38,34.00
1697884514.38,34.00
1697884515.39,34.00
1697884516.39,34.00
1697884517.39,34.00
1697884518.39,34.00
1697884519.39,34.00
1697884520.39,34.00
1697884521.39,34.00
1697884522.40,34.00
1697884523.40,34.00
1697884524.40,34.00
1697884525.40,34.00
1697884526.40,34.00
1697884527.40,34.00
1697884528.40,34.00
1697884529.41,34.00
1697884530.41,34.10
1697884531.41,34.10
1697884532.41,34.10
1697884533.41,34.10
1697884534.41,34.10
1697884535.41,34.10
1697884536.42,34.10
1697884537.42,34.10
1697884538.42,34.10
1697884539.42,34.10
1697884540.42,34.10
1697884541.43,34.10
1697884542.43,34.10
1697884543.43,34.10
1697884544.43,34.10
1697884545.43,34.10
1697884546.43,34.10
1697884547.43,34.10
1697884548.44,34.10
1697884549.44,34.00
1697884550.44,34.00
1697884551.44,33.90
1697884552.44,33.90
1697884553.44,33.90
1697884554.44,33.90
1697884555.45,33.90
1697884556.45,33.90
1697884557.45,34.00
1697884558.45,34.00
1697884559.45,34.00
1697884560.45,34.00
1697884561.45,34.00
1697884562.46,34.00
1697884563.46,34.00
1697884564.46,34.00
1697884565.46,34.00
1697884566.46,34.00
1697884567.46,34.00
1697884568.46,34.00
1697884569.47,34.00
1697884570.47,34.00
1697884571.47,34.00
1697884572.47,34.00
1697884573.47,34.00
1697884574.47,34.00
1697884575.48,34.00
1697884576.48,34.00
1697884577.48,34.00
1697884578.48,34.00
1697884579.48,34.00
1697884580.48,34.00
1697884581.48,34.00
1697884582.49,34.00
1697884583.49,34.00
1697884584.49,34.00
1697884585.49,34.00
1697884586.49,34.00
1697884587.49,34.00
1697884588.50,34.00
1697884589.50,34.00
1697884590.50,34.00
1697884591.50,34.00
1697884592.50,34.00
1697884593.50,34.00
1697884594.50,34.00
1697884595.50,34.00
1697884596.51,34.00
1697884597.51,34.00
1697884598.51,34.00
1697884599.51,34.00
1697884600.51,34.00
1697884601.51,34.00
1697884602.52,34.00
1697884603.52,34.00
1697884604.52,34.00
1697884605.52,34.00
1697884606.52,34.00
1697884607.52,34.00
1697884608.52,34.00
1697884609.53,34.00
1697884610.53,34.00
1697884611.53,34.00
1697884612.53,34.00
1697884613.53,34.00
1697884614.54,34.00
1697884615.54,34.00
1697884616.54,34.00
1697884617.54,34.00
1697884618.54,34.00
1697884619.54,34.00
1697884620.54,34.00
1697884621.54,34.00
1697884622.54,34.00
1697884623.55,34.00
1697884624.55,34.00
1697884625.55,34.00
1697884626.55,34.00
1697884627.55,34.00
1697884628.55,34.00
