TICKS,Net_recv,Net_sent
1697884469.32,174.44,3.96
1697884470.33,174.44,3.96
1697884471.33,174.44,3.96
1697884472.33,174.44,3.96
1697884473.33,174.44,3.96
1697884474.33,174.44,3.96
1697884475.33,174.44,3.96
1697884476.33,174.44,3.96
1697884477.34,174.44,3.96
1697884478.34,174.44,3.96
1697884479.34,174.44,3.96
1697884480.34,174.44,3.96
1697884481.34,174.45,3.97
1697884482.34,174.45,3.97
1697884483.34,174.46,3.99
1697884484.34,174.46,3.99
1697884485.35,174.46,3.99
1697884486.35,174.46,3.99
1697884487.35,174.46,3.99
1697884488.35,174.46,3.99
1697884489.35,174.46,3.99
1697884490.35,174.46,3.99
1697884491.35,174.46,3.99
1697884492.36,174.46,3.99
1697884493.36,174.46,3.99
1697884494.36,174.46,3.99
1697884495.36,174.46,3.99
1697884496.36,174.46,3.99
1697884497.36,174.46,3.99
1697884498.36,174.46,3.99
1697884499.37,174.46,3.99
1697884500.37,174.46,3.99
1697884501.37,174.46,3.99
1697884502.37,174.46,3.99
1697884503.37,174.46,3.99
1697884504.37,174.46,3.99
1697884505.37,174.46,3.99
1697884506.38,174.46,3.99
1697884507.38,174.46,3.99
1697884508.38,174.46,3.99
1697884509.38,174.46,3.99
1697884510.38,174.46,3.99
1697884511.38,174.46,3.99
1697884512.38,174.46,3.99
1697884513.38,174.46,3.99
1697884514.39,174.46,3.99
1697884515.39,174.46,3.99
1697884516.39,174.46,3.99
1697884517.39,174.46,3.99
1697884518.39,174.46,3.99
1697884519.39,174.46,3.99
1697884520.39,174.46,3.99
1697884521.39,174.46,3.99
1697884522.40,174.46,3.99
1697884523.40,174.46,3.99
1697884524.40,174.46,3.99
1697884525.40,174.46,3.99
1697884526.40,174.46,3.99
1697884527.40,174.46,3.99
1697884528.41,174.46,3.99
1697884529.41,174.46,3.99
1697884530.41,174.46,3.99
1697884531.41,174.46,3.99
1697884532.41,174.46,3.99
1697884533.41,174.46,3.99
1697884534.42,174.46,3.99
1697884535.42,174.46,3.99
1697884536.42,174.46,3.99
1697884537.42,174.46,3.99
1697884538.42,174.46,3.99
1697884539.42,174.46,3.99
1697884540.42,174.46,3.99
1697884541.43,174.46,3.99
1697884542.43,174.46,3.99
1697884543.43,174.46,3.99
1697884544.43,174.46,3.99
1697884545.43,174.46,3.99
1697884546.43,174.46,3.99
1697884547.43,174.46,3.99
1697884548.44,174.46,3.99
1697884549.44,174.46,3.99
1697884550.44,174.46,3.99
1697884551.44,174.46,3.99
