TICKS,CPU%
1696848604.06,109.80
1696848605.56,108.00
1696848607.07,104.20
1696848608.57,104.10
1696848610.07,125.00
1696848611.57,100.00
1696848613.07,106.20
1696848614.58,110.00
1696848616.08,106.40
1696848617.58,104.10
1696848619.08,133.30
1696848620.58,104.20
1696848622.09,110.20
1696848623.59,102.00
1696848625.09,121.40
1696848626.59,104.00
1696848628.09,110.20
1696848629.60,110.00
1696848631.10,108.50
1696848632.60,104.10
1696848634.10,126.70
1696848635.61,4.00
1696848637.11,6.00
1696848638.61,2.00
1696848640.11,21.00
1696848641.62,0.00
1696848643.12,4.00
1696848644.62,8.00
1696848646.12,2.00
1696848647.63,0.00
