TICKS,Memoryper%
1696848604.06,37.20
1696848605.06,37.20
1696848606.07,37.20
1696848607.07,37.20
1696848608.07,36.90
1696848609.07,36.90
1696848610.07,37.00
1696848611.07,37.00
1696848612.07,37.00
1696848613.07,37.00
1696848614.08,37.00
1696848615.08,37.00
1696848616.08,37.00
1696848617.08,37.00
1696848618.08,37.00
1696848619.08,37.00
1696848620.08,37.00
1696848621.09,37.00
1696848622.09,37.00
1696848623.09,37.00
1696848624.09,37.00
1696848625.09,37.00
1696848626.09,37.00
1696848627.09,37.00
1696848628.10,37.00
1696848629.10,37.00
1696848630.10,37.00
1696848631.10,37.00
1696848632.10,37.00
1696848633.10,37.00
1696848634.10,37.00
1696848635.10,37.00
1696848636.11,37.30
1696848637.11,37.40
1696848638.11,37.40
1696848639.11,37.40
1696848640.11,37.40
1696848641.11,37.30
1696848642.12,37.30
1696848643.12,37.30
1696848644.12,37.30
1696848645.12,37.40
1696848646.12,37.40
1696848647.12,37.40
1696848648.12,37.40
