TICKS,CPU%
1695098375.31,700.00
1695098376.82,700.00
1695098378.32,700.00
1695098379.82,700.00
1695098381.32,700.00
1695098382.83,700.00
1695098384.33,700.00
1695098385.83,700.00
1695098387.33,700.00
1695098388.83,700.00
1695098390.34,700.00
1695098391.84,700.00
1695098393.34,700.00
1695098394.84,700.00
1695098396.35,700.00
1695098397.85,700.00
1695098399.35,700.00
1695098400.86,700.00
1695098402.36,700.00
1695098403.86,700.00
1695098405.36,700.00
1695098406.87,700.00
1695098408.37,700.00
1695098409.87,700.00
1695098411.37,700.00
1695098412.88,700.00
1695098414.38,700.00
1695098415.88,700.00
1695098417.38,700.00
1695098418.89,700.00
1695098420.39,700.00
1695098421.89,700.00
1695098423.39,700.00
1695098424.90,700.00
1695098426.40,700.00
1695098427.90,700.00
1695098429.40,700.00
1695098430.91,700.00
1695098432.41,700.00
1695098433.91,700.00
1695098435.41,700.00
1695098436.92,700.00
1695098438.42,700.00
1695098439.92,700.00
1695098441.42,700.00
1695098442.92,700.00
1695098444.43,700.00
1695098445.93,700.00
1695098447.43,700.00
1695098448.93,700.00
1695098450.44,700.00
1695098451.94,700.00
1695098453.44,700.00
1695098454.94,700.00
1695098456.45,700.00
1695098457.95,700.00
1695098459.45,700.00
1695098460.95,700.00
1695098462.46,700.00
1695098463.96,700.00
1695098465.46,700.00
1695098466.97,700.00
1695098468.47,700.00
1695098469.97,700.00
1695098471.47,700.00
1695098472.97,700.00
1695098474.48,700.00
1695098475.98,700.00
1695098477.48,700.00
1695098478.98,700.00
1695098480.49,700.00
1695098481.99,700.00
1695098483.49,700.00
1695098484.99,700.00
1695098486.50,700.00
1695098488.00,700.00
1695098489.50,700.00
1695098491.00,700.00
1695098492.51,700.00
1695098494.01,700.00
1695098495.51,700.00
1695098497.01,700.00
1695098498.51,700.00
1695098500.02,700.00
1695098501.52,700.00
1695098503.02,700.00
1695098504.53,700.00
1695098506.03,700.00
1695098507.53,700.00
1695098509.03,700.00
1695098510.53,700.00
1695098512.04,700.00
1695098513.54,700.00
1695098515.04,700.00
1695098516.54,700.00
1695098518.05,700.00
1695098519.55,700.00
1695098521.05,700.00
1695098522.55,700.00
1695098524.06,700.00
1695098525.56,700.00
1695098527.06,700.00
1695098528.56,700.00
1695098530.06,700.00
1695098531.57,700.00
1695098533.07,700.00
1695098534.57,700.00
1695098536.07,700.00
1695098537.58,700.00
1695098539.08,700.00
1695098540.58,700.00
1695098542.08,700.00
1695098543.58,700.00
1695098545.09,700.00
1695098546.59,700.00
1695098548.09,700.00
1695098549.59,700.00
1695098551.10,700.00
1695098552.60,700.00
1695098554.10,700.00
1695098555.60,700.00
1695098557.11,700.00
1695098558.61,700.00
1695098560.11,700.00
1695098561.61,700.00
1695098563.12,700.00
1695098564.62,700.00
1695098566.12,700.00
1695098567.62,700.00
1695098569.13,700.00
1695098570.63,700.00
1695098572.13,700.00
1695098573.64,700.00
1695098575.14,700.00
1695098576.64,700.00
1695098578.14,700.00
1695098579.65,700.00
1695098581.15,700.00
1695098582.65,700.00
1695098584.15,700.00
